input,chain_of_thought,output
What is 107 + 163?,Adding 107 to 163 gives...,270
What is 107 - 163?,Subtracting 163 from 107 leaves...,-56
What is 107 × 163?,Multiplying 107 by 163 results in...,17441
What is 107 ÷ 163?,Dividing 107 by 163 gives...,0.66
If I have 7 apples and get 8 more...,7 apples + 8 apples = total...,15 apples
"Find the next number in the sequence: [9, 4, 6, 28]","The pattern increases by -5, so the next number is...",0
A car moves at 75 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 75 × 1 =,75 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 410 + 999?,Adding 410 to 999 gives...,1409
What is 410 - 999?,Subtracting 999 from 410 leaves...,-589
What is 410 × 999?,Multiplying 410 by 999 results in...,409590
What is 410 ÷ 999?,Dividing 410 by 999 gives...,0.41
If I have 2 apples and get 5 more...,2 apples + 5 apples = total...,7 apples
"Find the next number in the sequence: [2, 20, 30, 36]","The pattern increases by 18, so the next number is...",33
A car moves at 30 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 30 × 1 =,30 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 507 + 81?,Adding 507 to 81 gives...,588
What is 507 - 81?,Subtracting 81 from 507 leaves...,426
What is 507 × 81?,Multiplying 507 by 81 results in...,41067
What is 507 ÷ 81?,Dividing 507 by 81 gives...,6.26
If I have 14 apples and get 8 more...,14 apples + 8 apples = total...,22 apples
"Find the next number in the sequence: [5, 16, 15, 28]","The pattern increases by 11, so the next number is...",21
A car moves at 31 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 31 × 5 =,155 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 305 + 386?,Adding 305 to 386 gives...,691
What is 305 - 386?,Subtracting 386 from 305 leaves...,-81
What is 305 × 386?,Multiplying 305 by 386 results in...,117730
What is 305 ÷ 386?,Dividing 305 by 386 gives...,0.79
If I have 19 apples and get 10 more...,19 apples + 10 apples = total...,29 apples
"Find the next number in the sequence: [10, 16, 21, 36]","The pattern increases by 6, so the next number is...",36
A car moves at 94 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 94 × 3 =,282 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 94 + 597?,Adding 94 to 597 gives...,691
What is 94 - 597?,Subtracting 597 from 94 leaves...,-503
What is 94 × 597?,Multiplying 94 by 597 results in...,56118
What is 94 ÷ 597?,Dividing 94 by 597 gives...,0.16
If I have 13 apples and get 1 more...,13 apples + 1 apples = total...,14 apples
"Find the next number in the sequence: [1, 10, 30, 16]","The pattern increases by 9, so the next number is...",49
A car moves at 53 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 53 × 4 =,212 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 448 + 799?,Adding 448 to 799 gives...,1247
What is 448 - 799?,Subtracting 799 from 448 leaves...,-351
What is 448 × 799?,Multiplying 448 by 799 results in...,357952
What is 448 ÷ 799?,Dividing 448 by 799 gives...,0.56
If I have 19 apples and get 3 more...,19 apples + 3 apples = total...,22 apples
"Find the next number in the sequence: [5, 10, 6, 28]","The pattern increases by 5, so the next number is...",15
A car moves at 50 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 50 × 5 =,250 km
What is the capital of France?,The capital city of France is...,Paris
What is 11 + 514?,Adding 11 to 514 gives...,525
What is 11 - 514?,Subtracting 514 from 11 leaves...,-503
What is 11 × 514?,Multiplying 11 by 514 results in...,5654
What is 11 ÷ 514?,Dividing 11 by 514 gives...,0.02
If I have 6 apples and get 2 more...,6 apples + 2 apples = total...,8 apples
"Find the next number in the sequence: [9, 6, 24, 36]","The pattern increases by -3, so the next number is...",42
A car moves at 70 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 70 × 4 =,280 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 803 + 395?,Adding 803 to 395 gives...,1198
What is 803 - 395?,Subtracting 395 from 803 leaves...,408
What is 803 × 395?,Multiplying 803 by 395 results in...,317185
What is 803 ÷ 395?,Dividing 803 by 395 gives...,2.03
If I have 2 apples and get 6 more...,2 apples + 6 apples = total...,8 apples
"Find the next number in the sequence: [2, 10, 3, 12]","The pattern increases by 8, so the next number is...",48
A car moves at 89 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 89 × 1 =,89 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 266 + 12?,Adding 266 to 12 gives...,278
What is 266 - 12?,Subtracting 12 from 266 leaves...,254
What is 266 × 12?,Multiplying 266 by 12 results in...,3192
What is 266 ÷ 12?,Dividing 266 by 12 gives...,22.17
If I have 16 apples and get 9 more...,16 apples + 9 apples = total...,25 apples
"Find the next number in the sequence: [2, 20, 30, 12]","The pattern increases by 18, so the next number is...",33
A car moves at 72 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 72 × 1 =,72 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 584 + 752?,Adding 584 to 752 gives...,1336
What is 584 - 752?,Subtracting 752 from 584 leaves...,-168
What is 584 × 752?,Multiplying 584 by 752 results in...,439168
What is 584 ÷ 752?,Dividing 584 by 752 gives...,0.78
If I have 7 apples and get 10 more...,7 apples + 10 apples = total...,17 apples
"Find the next number in the sequence: [9, 8, 18, 28]","The pattern increases by -1, so the next number is...",29
A car moves at 110 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 110 × 1 =,110 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 645 + 573?,Adding 645 to 573 gives...,1218
What is 645 - 573?,Subtracting 573 from 645 leaves...,72
What is 645 × 573?,Multiplying 645 by 573 results in...,369585
What is 645 ÷ 573?,Dividing 645 by 573 gives...,1.13
If I have 4 apples and get 5 more...,4 apples + 5 apples = total...,9 apples
"Find the next number in the sequence: [8, 10, 18, 16]","The pattern increases by 2, so the next number is...",22
A car moves at 42 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 42 × 1 =,42 km
What is the capital of France?,The capital city of France is...,Paris
What is 735 + 588?,Adding 735 to 588 gives...,1323
What is 735 - 588?,Subtracting 588 from 735 leaves...,147
What is 735 × 588?,Multiplying 735 by 588 results in...,432180
What is 735 ÷ 588?,Dividing 735 by 588 gives...,1.25
If I have 7 apples and get 2 more...,7 apples + 2 apples = total...,9 apples
"Find the next number in the sequence: [10, 16, 30, 8]","The pattern increases by 6, so the next number is...",11
A car moves at 101 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 101 × 2 =,202 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 164 + 344?,Adding 164 to 344 gives...,508
What is 164 - 344?,Subtracting 344 from 164 leaves...,-180
What is 164 × 344?,Multiplying 164 by 344 results in...,56416
What is 164 ÷ 344?,Dividing 164 by 344 gives...,0.48
If I have 1 apples and get 4 more...,1 apples + 4 apples = total...,5 apples
"Find the next number in the sequence: [2, 18, 9, 8]","The pattern increases by 16, so the next number is...",31
A car moves at 64 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 64 × 4 =,256 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 958 + 337?,Adding 958 to 337 gives...,1295
What is 958 - 337?,Subtracting 337 from 958 leaves...,621
What is 958 × 337?,Multiplying 958 by 337 results in...,322846
What is 958 ÷ 337?,Dividing 958 by 337 gives...,2.84
If I have 12 apples and get 10 more...,12 apples + 10 apples = total...,22 apples
"Find the next number in the sequence: [8, 10, 9, 12]","The pattern increases by 2, so the next number is...",22
A car moves at 108 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 108 × 1 =,108 km
What is the capital of France?,The capital city of France is...,Paris
What is 331 + 867?,Adding 331 to 867 gives...,1198
What is 331 - 867?,Subtracting 867 from 331 leaves...,-536
What is 331 × 867?,Multiplying 331 by 867 results in...,286977
What is 331 ÷ 867?,Dividing 331 by 867 gives...,0.38
If I have 3 apples and get 2 more...,3 apples + 2 apples = total...,5 apples
"Find the next number in the sequence: [6, 8, 15, 16]","The pattern increases by 2, so the next number is...",12
A car moves at 36 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 36 × 5 =,180 km
What is the capital of France?,The capital city of France is...,Paris
What is 575 + 22?,Adding 575 to 22 gives...,597
What is 575 - 22?,Subtracting 22 from 575 leaves...,553
What is 575 × 22?,Multiplying 575 by 22 results in...,12650
What is 575 ÷ 22?,Dividing 575 by 22 gives...,26.14
If I have 6 apples and get 4 more...,6 apples + 4 apples = total...,10 apples
"Find the next number in the sequence: [10, 20, 18, 8]","The pattern increases by 10, so the next number is...",30
A car moves at 111 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 111 × 5 =,555 km
What is the capital of France?,The capital city of France is...,Paris
What is 534 + 322?,Adding 534 to 322 gives...,856
What is 534 - 322?,Subtracting 322 from 534 leaves...,212
What is 534 × 322?,Multiplying 534 by 322 results in...,171948
What is 534 ÷ 322?,Dividing 534 by 322 gives...,1.66
If I have 12 apples and get 3 more...,12 apples + 3 apples = total...,15 apples
"Find the next number in the sequence: [1, 2, 30, 36]","The pattern increases by 1, so the next number is...",46
A car moves at 97 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 97 × 4 =,388 km
What is the capital of France?,The capital city of France is...,Paris
What is 425 + 731?,Adding 425 to 731 gives...,1156
What is 425 - 731?,Subtracting 731 from 425 leaves...,-306
What is 425 × 731?,Multiplying 425 by 731 results in...,310675
What is 425 ÷ 731?,Dividing 425 by 731 gives...,0.58
If I have 8 apples and get 4 more...,8 apples + 4 apples = total...,12 apples
"Find the next number in the sequence: [10, 4, 12, 28]","The pattern increases by -6, so the next number is...",14
A car moves at 107 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 107 × 2 =,214 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 457 + 677?,Adding 457 to 677 gives...,1134
What is 457 - 677?,Subtracting 677 from 457 leaves...,-220
What is 457 × 677?,Multiplying 457 by 677 results in...,309389
What is 457 ÷ 677?,Dividing 457 by 677 gives...,0.68
If I have 10 apples and get 2 more...,10 apples + 2 apples = total...,12 apples
"Find the next number in the sequence: [8, 8, 27, 8]","The pattern increases by 0, so the next number is...",35
A car moves at 111 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 111 × 2 =,222 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 33 + 258?,Adding 33 to 258 gives...,291
What is 33 - 258?,Subtracting 258 from 33 leaves...,-225
What is 33 × 258?,Multiplying 33 by 258 results in...,8514
What is 33 ÷ 258?,Dividing 33 by 258 gives...,0.13
If I have 16 apples and get 5 more...,16 apples + 5 apples = total...,21 apples
"Find the next number in the sequence: [1, 20, 15, 8]","The pattern increases by 19, so the next number is...",49
A car moves at 56 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 56 × 1 =,56 km
What is the capital of France?,The capital city of France is...,Paris
What is 579 + 4?,Adding 579 to 4 gives...,583
What is 579 - 4?,Subtracting 4 from 579 leaves...,575
What is 579 × 4?,Multiplying 579 by 4 results in...,2316
What is 579 ÷ 4?,Dividing 579 by 4 gives...,144.75
If I have 19 apples and get 5 more...,19 apples + 5 apples = total...,24 apples
"Find the next number in the sequence: [7, 16, 9, 16]","The pattern increases by 9, so the next number is...",49
A car moves at 74 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 74 × 4 =,296 km
What is the capital of France?,The capital city of France is...,Paris
What is 723 + 229?,Adding 723 to 229 gives...,952
What is 723 - 229?,Subtracting 229 from 723 leaves...,494
What is 723 × 229?,Multiplying 723 by 229 results in...,165567
What is 723 ÷ 229?,Dividing 723 by 229 gives...,3.16
If I have 7 apples and get 9 more...,7 apples + 9 apples = total...,16 apples
"Find the next number in the sequence: [3, 12, 12, 32]","The pattern increases by 9, so the next number is...",54
A car moves at 61 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 61 × 4 =,244 km
What is the capital of France?,The capital city of France is...,Paris
What is 51 + 630?,Adding 51 to 630 gives...,681
What is 51 - 630?,Subtracting 630 from 51 leaves...,-579
What is 51 × 630?,Multiplying 51 by 630 results in...,32130
What is 51 ÷ 630?,Dividing 51 by 630 gives...,0.08
If I have 1 apples and get 3 more...,1 apples + 3 apples = total...,4 apples
"Find the next number in the sequence: [10, 10, 30, 36]","The pattern increases by 0, so the next number is...",30
A car moves at 45 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 45 × 2 =,90 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 291 + 757?,Adding 291 to 757 gives...,1048
What is 291 - 757?,Subtracting 757 from 291 leaves...,-466
What is 291 × 757?,Multiplying 291 by 757 results in...,220287
What is 291 ÷ 757?,Dividing 291 by 757 gives...,0.38
If I have 9 apples and get 7 more...,9 apples + 7 apples = total...,16 apples
"Find the next number in the sequence: [5, 2, 21, 28]","The pattern increases by -3, so the next number is...",12
A car moves at 38 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 38 × 2 =,76 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 77 + 233?,Adding 77 to 233 gives...,310
What is 77 - 233?,Subtracting 233 from 77 leaves...,-156
What is 77 × 233?,Multiplying 77 by 233 results in...,17941
What is 77 ÷ 233?,Dividing 77 by 233 gives...,0.33
If I have 14 apples and get 2 more...,14 apples + 2 apples = total...,16 apples
"Find the next number in the sequence: [4, 10, 24, 12]","The pattern increases by 6, so the next number is...",51
A car moves at 37 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 37 × 1 =,37 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 902 + 43?,Adding 902 to 43 gives...,945
What is 902 - 43?,Subtracting 43 from 902 leaves...,859
What is 902 × 43?,Multiplying 902 by 43 results in...,38786
What is 902 ÷ 43?,Dividing 902 by 43 gives...,20.98
If I have 10 apples and get 9 more...,10 apples + 9 apples = total...,19 apples
"Find the next number in the sequence: [1, 20, 12, 24]","The pattern increases by 19, so the next number is...",44
A car moves at 45 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 45 × 3 =,135 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 227 + 446?,Adding 227 to 446 gives...,673
What is 227 - 446?,Subtracting 446 from 227 leaves...,-219
What is 227 × 446?,Multiplying 227 by 446 results in...,101242
What is 227 ÷ 446?,Dividing 227 by 446 gives...,0.51
If I have 16 apples and get 10 more...,16 apples + 10 apples = total...,26 apples
"Find the next number in the sequence: [7, 4, 12, 20]","The pattern increases by -3, so the next number is...",27
A car moves at 106 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 106 × 2 =,212 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 540 + 481?,Adding 540 to 481 gives...,1021
What is 540 - 481?,Subtracting 481 from 540 leaves...,59
What is 540 × 481?,Multiplying 540 by 481 results in...,259740
What is 540 ÷ 481?,Dividing 540 by 481 gives...,1.12
If I have 11 apples and get 6 more...,11 apples + 6 apples = total...,17 apples
"Find the next number in the sequence: [8, 2, 30, 32]","The pattern increases by -6, so the next number is...",44
A car moves at 84 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 84 × 3 =,252 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 544 + 777?,Adding 544 to 777 gives...,1321
What is 544 - 777?,Subtracting 777 from 544 leaves...,-233
What is 544 × 777?,Multiplying 544 by 777 results in...,422688
What is 544 ÷ 777?,Dividing 544 by 777 gives...,0.7
If I have 17 apples and get 2 more...,17 apples + 2 apples = total...,19 apples
"Find the next number in the sequence: [1, 12, 15, 24]","The pattern increases by 11, so the next number is...",51
